component_id,component_rank_by_size,node_count,edge_count,total_length_m,centroid_x,centroid_y,min_x,max_x,min_y,max_y,decision,reason
component_0002,2,67,86,32531.649861320366,116.11232613582091,39.95861152089553,116.0488432,116.1549244,39.9232928,40.0032305,removed,disconnected from the main road network
component_0003,3,51,77,19815.02370841191,116.07009236470591,39.703130631372545,116.0491845,116.0821393,39.6826135,39.7365757,removed,disconnected from the main road network
component_0009,4,7,8,4551.619311403307,116.11194632857142,39.679858214285716,116.0981287,116.1267778,39.6769797,39.6824051,removed,disconnected from the main road network
component_0004,5,2,1,281.8261127897642,116.38000465,39.86925295,116.3784871,116.3815222,39.8691011,39.8694048,removed,disconnected from the main road network
component_0005,6,2,1,87.90975583313507,116.61542539999999,39.85456575,116.6149889,116.6158619,39.8543764,39.8547551,removed,disconnected from the main road network
component_0006,7,2,1,9.335855845059548,116.55207565,40.0816072,116.5520211,116.5521302,40.0816027,40.0816117,removed,disconnected from the main road network
component_0007,8,2,1,9.463764744376807,116.55352375000001,40.09048765,116.5534686,116.5535789,40.0904821,40.0904932,removed,disconnected from the main road network
component_0008,9,2,1,9.469714577565034,116.55361435,40.0910354,116.5535589,116.5536698,40.0910317,40.0910391,removed,disconnected from the main road network
component_0010,10,2,1,188.01312080577765,116.3026823,39.94210115,116.3016214,116.3037432,39.9420592,39.9421431,removed,disconnected from the main road network
component_0011,11,2,1,217.38646010546086,116.3506356,39.921308999999994,116.3503992,116.350872,39.9203675,39.9222505,removed,disconnected from the main road network
component_0012,12,2,1,64.11748722872142,116.4823283,39.98770585,116.4821493,116.4825073,39.9874523,39.9879594,removed,disconnected from the main road network
component_0013,13,2,1,123.61415689925683,116.35081055,39.866806249999996,116.3500924,116.3515287,39.8667455,39.866867,removed,disconnected from the main road network
